gtpu_access_tunnel_ip,count
 100.102.160.51        ,131
 100.102.164.168       ,131
 100.112.211.35        ,131
 100.99.248.227        ,131
 100.92.92.162         ,131
 100.101.80.220        ,131
 100.101.152.147       ,131
 100.112.218.229       ,131
 100.101.86.211        ,131
 100.99.245.132        ,131
 100.99.243.25         ,131
 100.116.128.217       ,131
 100.102.67.231        ,130
 100.100.222.211       ,130
 100.92.91.201         ,130
 100.101.155.231       ,130
 100.102.169.185       ,130
 100.112.218.233       ,130
 10.36.18.101          ,130
 100.101.158.85        ,130
 100.101.156.199       ,130
 10.36.50.187          ,130
 100.112.221.83        ,130
 100.112.219.82        ,130
 100.112.208.179       ,130
 10.97.1.253           ,129
 100.99.138.188        ,129
 10.36.81.247          ,129
 100.112.218.3         ,129
 100.99.250.106        ,129
 100.99.255.136        ,129
 100.100.216.246       ,129
 100.102.75.98         ,128
 100.102.160.61        ,128
 10.36.58.232          ,128
 100.99.243.19         ,128
 100.99.132.139        ,128
 100.99.252.25         ,128
 100.116.140.35        ,128
 100.100.216.86        ,128
 100.99.143.158        ,128
 100.102.171.85        ,128
 10.36.81.55           ,128
 100.117.113.163       ,128
 10.36.31.35           ,128
 10.36.81.188          ,127
 100.97.157.215        ,127
 10.36.22.104          ,127
 100.99.135.229        ,127
 100.99.242.2          ,127
 10.36.55.67           ,127
 100.99.250.149        ,127
 100.97.159.86         ,127
 100.99.250.44         ,127
 100.99.240.51         ,127
 100.92.92.189         ,127
 100.99.140.222        ,126
 100.102.76.116        ,126
 10.36.82.238          ,126
 100.95.25.253         ,126
 100.100.138.39        ,126
 100.102.170.2         ,126
 100.99.143.253        ,126
 100.99.245.34         ,126
 10.36.82.121          ,126
 100.99.129.83         ,126
 100.101.153.164       ,126
 10.36.125.61          ,126
 10.36.127.251         ,126
 100.99.245.198        ,126
 100.99.142.237        ,126
 100.102.68.22         ,126
 100.99.248.45         ,126
 100.99.254.19         ,126
 100.99.141.118        ,126
 10.36.51.155          ,126
 100.101.156.203       ,126
 100.102.67.7          ,126
 100.100.132.82        ,125
 100.95.23.155         ,125
 100.101.94.140        ,125
 100.100.223.36        ,125
 100.100.139.133       ,125
 100.117.119.98        ,125
 100.101.85.89         ,125
 100.100.134.146       ,125
 100.99.250.103        ,125
 100.101.149.246       ,125
 100.102.167.245       ,124
 100.101.85.215        ,124
 10.36.18.167          ,124
 100.112.221.85        ,124
 100.101.86.54         ,124
 100.100.134.82        ,124
 10.36.29.146          ,124
 100.103.131.242       ,124
 100.99.129.141        ,124
 100.116.131.70        ,124
 100.103.128.83        ,124
 100.99.245.18         ,124
 100.100.211.150       ,124
 100.99.249.101        ,124
 100.103.137.132       ,124
 100.99.143.226        ,124
 10.36.93.9            ,124
 100.103.140.180       ,124
 100.92.92.187         ,123
 100.101.85.93         ,123
 100.118.247.35        ,123
 100.100.128.204       ,123
 100.99.134.114        ,123
 100.101.94.5          ,123
 100.99.244.104        ,123
 100.112.218.179       ,122
 100.100.222.70        ,122
 100.99.129.90         ,122
 100.97.151.133        ,122
 100.117.116.210       ,122
 100.100.222.227       ,122
 10.36.61.62           ,122
 100.116.136.227       ,122
 100.95.27.199         ,122
 10.36.61.142          ,122
 10.36.127.85          ,122
 100.99.240.54         ,122
 100.112.219.83        ,122
 100.99.247.121        ,121
 100.101.156.201       ,121
 100.95.21.189         ,121
 100.99.251.236        ,121
 100.101.92.5          ,121
 10.97.9.51            ,121
 100.100.128.125       ,121
 10.36.91.102          ,121
 100.92.92.183         ,121
 100.102.160.180       ,121
 100.112.215.181       ,121
 100.100.208.120       ,121
 100.100.134.71        ,121
 100.102.68.21         ,121
 10.97.15.29           ,121
 100.99.242.215        ,120
 100.101.80.231        ,120
 10.36.92.205          ,120
 10.97.1.251           ,120
 100.101.144.30        ,120
 100.100.215.242       ,120
 100.112.218.2         ,120
 100.99.243.130        ,120
 10.36.84.222          ,120
 100.116.138.99        ,120
 100.93.48.120         ,120
 100.99.253.52         ,120
 10.36.28.105          ,120
 100.99.254.250        ,120
 100.112.219.50        ,120
 10.36.92.217          ,120
 100.100.139.196       ,120
 10.36.26.226          ,120
 10.36.48.217          ,120
 10.36.26.205          ,120
 100.97.150.87         ,120
 100.99.142.197        ,119
 100.100.216.57        ,119
 100.95.26.169         ,119
 100.99.248.66         ,119
 100.99.253.168        ,119
 100.93.60.250         ,119
 100.99.240.34         ,119
 10.36.22.233          ,119
 100.100.221.66        ,119
 100.101.86.218        ,119
 10.36.22.78           ,119
 100.117.123.83        ,119
 10.36.56.126          ,119
 10.36.61.70           ,119
 100.95.31.162         ,119
 100.103.136.51        ,119
 100.100.212.22        ,119
 100.116.131.67        ,119
 100.99.249.232        ,119
 100.117.113.179       ,118
 10.36.23.243          ,118
 100.97.146.217        ,118
 100.101.158.69        ,118
 100.99.248.243        ,118
 100.92.87.67          ,118
 100.99.143.180        ,118
 100.99.247.120        ,118
 100.95.25.133         ,118
 100.102.166.146       ,118
 100.99.139.133        ,118
 100.97.154.149        ,118
 100.100.216.37        ,118
 100.99.240.50         ,118
 100.100.211.243       ,118
 10.36.20.183          ,118
 100.95.21.56          ,118
 100.99.251.20         ,118
 100.99.249.247        ,117
 10.36.31.3            ,117
 100.95.30.61          ,117
 100.99.253.105        ,117
 100.102.170.132       ,117
 100.112.221.243       ,117
 100.101.153.168       ,117
 10.36.27.178          ,117
 100.101.83.119        ,117
 100.100.135.37        ,117
 100.99.250.41         ,117
 10.36.28.78           ,117
 100.100.139.132       ,117
 10.36.22.190          ,117
 100.101.94.142        ,117
 100.92.82.78          ,117
 100.100.221.230       ,117
 100.99.249.242        ,117
 10.36.82.251          ,117
 100.97.146.214        ,117
 10.36.80.204          ,117
 10.36.63.30           ,117
 10.36.124.73          ,117
 10.36.93.254          ,116
 100.100.140.66        ,116
 100.101.154.25        ,116
 100.99.248.226        ,116
 100.100.137.72        ,116
 100.102.70.178        ,116
 10.36.92.218          ,116
 100.92.93.174         ,116
 100.101.145.199       ,116
 100.112.214.68        ,116
 10.36.22.210          ,116
 100.95.31.183         ,116
 10.36.61.42           ,116
 100.99.241.123        ,116
 10.97.1.110           ,116
 100.93.60.249         ,116
 100.103.138.35        ,116
 100.95.26.5           ,116
 10.36.29.194          ,116
 100.100.221.203       ,116
 100.99.251.116        ,116
 100.101.89.99         ,116
 100.101.152.213       ,116
 100.99.255.130        ,116
 10.36.125.50          ,116
 100.116.134.117       ,116
