rat_type ,gtpu_access_tunnel_ip, cell_type ,cell_name,cell_site, loc_eci   ,latitude,longitude, cd_call_id ,s_dl_rtcp_mos, c_dl_rtcp_mos , s_ul_rtcp_mos     , c_ul_rtcp_mos 
 6        , 100.99.254.114        , OM        , 404-97-508916-31 , UW_E_F1_OM_DEH451B_B   , 130282527 , 30.29579 , 77.99648000000001 , 1          , 4.391819          , 1             , 4.396715          , 1             
 6        , 100.99.254.114        , OM        , 404-97-881908-90 , UW_E_T1_OM_DEH860A_A  , 225768538 , 30.31917 , 78.04313999999999 , 1          , 4.388688          , 1             , 4.396216           , 1             
 6        , 100.99.254.114        , OM        , 404-97-802540-22 , UW_E_T2_OM_IDON02C_C  , 205450262 , 30.30712 , 78.01495          , 1          , 8.785827999999999 , 2             , 8.784078000000001 , 2             
 6        , 100.99.254.114        , OM        , 404-97-591013-37 , UW_E_F1_OM_DEH213B_M  , 151299365 , 30.30765 , 78.02122          , 1          , 4.04862           , 1             , 4.35019           , 1             
 6        , 100.99.254.114        , Macro     , 404-97-888378-81 , UW_ZQ_T2_OM_DEH119B_B , 227424849 , 30.31689 , 78.02552          , 15         , 241.558961        , 56            , 245.749977        , 56            
 6        , 100.99.254.114        , Other     , Other            , Other                 , 150856735 , 0        , 0                 , 1          , 3.570342          , 1             , 3.854131          , 1             
 6        , 100.99.254.114        , OM        , 404-97-593374-37 , UW_E_F1_OM_DEH133B_M  , 151903781 , 30.29256 , 77.99930000000001 , 1          , 13.17265          , 3             , 13.172812         , 3             
 6        , 100.99.254.114        , OM        , 404-97-92402-92  , UW_E_T1_OM_DEH70C_C   , 23655004  , 30.31048 , 78.02806          , 1          , 3.989193          , 1             , 4.274234          , 1             
 6        , 100.99.254.114        , OM        , 404-97-596939-30 , UW_E_F1_OM_DEH401A_A  , 152816414 , 30.32801 , 78.04527          , 1          , 4.323541          , 1             , 4.376544          , 1             
 6        , 100.99.254.114        , OM        , 404-97-92402-3   , UW_E_F3_OM_DEH70C_C    , 23654915  , 30.31048 , 78.02806          , 1          , 0.992463          , 1             , 4.272918          , 1             
 6        , 100.99.254.114        , OM        , 404-97-530648-32 , UW_E_F1_OM_DEH430C_C   , 135845920 , 30.313   , 78.0274           , 16         , 59.186501         , 17            , 65.63908000000001 , 17            
 6        , 100.99.254.114        , OM        , 404-97-803177-92 , UW_E_T1_OM_DEH818C_C  , 205613404 , 30.32029 , 78.03216          , 1          , 13.161462         , 3             , 13.17771          , 3             
 6        , 100.99.254.114        , OM        , 404-97-92728-1   , UW_E_F3_OM_DEH208A_A  , 23738369  , 30.30837 , 78.04919          , 1          , 8.740579          , 2             , 8.762848          , 2             
 6        , 100.99.254.114        , ULS       , 404-97-61322-20  , UW_E_T2_HS_DEHM294A_A , 15698452  , 30.30433 , 78.01761999999999 , 1          , 4.390274          , 1             , 4.380167          , 1             
 6        , 100.99.254.114        , ULS        , 404-97-60683-90  , UW_E_T1_HS_DEHM187A_A , 15534938  , 30.31083 , 78.03516          , 2          , 8.586268          , 2             , 8.562850999999998 , 2             
 6        , 100.99.254.114        , om         , 404-97-804480-1  , UW_E_F3_OM_DEH821A_A   , 205946881 , 30.32588 , 78.02553          , 1          , 4.375906          , 2             , 8.777706999999999 , 2             
 6        , 100.99.254.114        , Other     , Other            , Other                 , 15869787  , 0        , 0                 , 1          , 8.781715           , 2             , 8.789871999999999 , 2             
 6        , 100.99.254.114        , OM        , 404-97-591424-60 , UW_E_F5_OM_DEH03A_A   , 151404604 , 30.31747 , 78.02889999999999 , 223        , 1367.074932       , 360           , 1326.862871       , 360           
 6        , 100.99.254.114        , OM        , 404-97-96523-2   , UW_E_F3_OM_DEH88B_B   , 24709890  , 30.31852 , 78.02478000000001 , 15         , 500.432855        , 115           , 505.543147        , 115           
 6        , 100.99.254.114        , OM        , 404-97-583518-31 , UW_E_F1_OM_DEH68B_B    , 149380639 , 30.32425 , 78.01492          , 1          , 8.793796          , 2             , 8.798002          , 2             
 6        , 100.99.254.114        , OM        , 404-97-581908-30 , UW_E_F1_OM_DEH860A_A  , 148968478 , 30.31917 , 78.04313999999999 , 1          , 4.385685          , 1             , 4.385937          , 1             
 6        , 100.99.254.114        , OM         , 404-97-596899-31 , UW_E_F1_OM_DEH01B_B    , 152806175 , 30.32528 , 78.04022999999999 , 1          , 17.565924         , 4             , 17.445098         , 4             
 6        , 100.99.254.114        , OM        , 404-97-95841-90  , UW_E_T1_OM_DEH189A_A  , 24535386  , 30.30107 , 78.02782999999999 , 1          , 4.390799           , 1             , 4.397764          , 1             
 6        , 100.99.254.114        , OM         , 404-97-591013-31 , UW_E_F1_OM_DEH213B_B  , 151299359 , 30.30765 , 78.02122          , 1          , 4.386437          , 1             , 4.341347          , 1             
 6        , 100.99.254.114        , OM         , 404-97-530648-60 , UW_E_F5_OM_DEH430A_A  , 135845948 , 30.313   , 78.0274           , 2          , 4.366784          , 2             , 4.371876          , 2             
 6        , 100.99.254.114        , OM        , 404-97-591424-62 , UW_E_F5_OM_DEH03C_C   , 151404606 , 30.31747 , 78.02889999999999 , 467        , 3307.600656999999 , 841           , 3332.005228       , 841           
 6        , 100.99.254.114        , OM        , 404-97-91455-93  , UW_ZQ_T1_OM_DEH19D_D  , 23412573  , 30.3214  , 78.03833          , 1          , 13.164653         , 3             , 13.190625         , 3             
 6        , 100.99.254.114        , OM        , 404-97-91643-95  , UW_E_T1_OM_DEH52B_M   , 23460703  , 30.32286 , 78.02835          , 10         , 249.659616        , 57            , 249.702373        , 57            
 6        , 100.99.254.114        , OM        , 404-97-803177-3  , UW_E_F3_OM_DEH818C_C   , 205613315 , 30.32029 , 78.03216          , 6          , 69.73220999999999 , 16            , 69.85847799999999 , 16            
 6        , 100.99.254.114        , OM        , 404-97-92232-3   , UW_E_F3_OM_DEH354C_C   , 23611395  , 30.30198 , 78.01082          , 1          , 4.390553          , 1             , 4.398821          , 1             
 6        , 100.99.254.114        , OM         , 404-97-92682-20  , UW_E_T2_OM_DEH382A_A  , 23726612  , 30.27289 , 77.99374          , 1          , 4.390383          , 1             , 4.376595          , 1             
 6        , 100.99.254.114        , OM        , 404-97-896497-2  , UW_ZQ_F3_OM_DEH998B_B , 229503234 , 30.30777 , 78.01737          , 5          , 24.769137         , 6             , 25.979249         , 6             
 6        , 100.99.254.114        , Macro     , 404-97-93095-21  , UW_ZQ_T2_OM_DEH255B_B  , 23832341  , 30.3229  , 78.04008          , 1          , 4.389251          , 1             , 4.379614          , 1             
 6        , 100.99.254.114        , OM         , 404-97-91643-1   , UW_E_F3_OM_DEH52A_A    , 23460609  , 30.32286 , 78.02835          , 10         , 192.98064         , 45            , 193.099032        , 45            
 6        , 100.99.254.114        , OM         , 404-97-582625-32 , UW_E_F1_OM_BDIH01C_C   , 149152032 , 30.2984  , 77.93085000000001 , 1          , 4.394726          , 1             , 4.385082          , 1             
 6        , 100.99.254.114        , OM        , 404-97-596559-31 , UW_E_F1_OM_IDON02B_B   , 152719135 , 30.30712 , 78.01495          , 1          , 13.174633         , 3             , 13.135146         , 3             
 6        , 100.99.254.114        , OM        , 404-97-91424-93  , UW_E_T1_OM_DEH03D_D   , 23404637  , 30.31747 , 78.02889999999999 , 19         , 298.448847        , 68            , 298.350352        , 68            
 6        , 100.99.254.114        , OM        , 404-97-593397-30 , UW_E_F1_OM_DEH126A_A  , 151909662 , 30.32085 , 78.04713          , 1          , 13.168124         , 3             , 13.172993         , 3             
 6        , 100.99.254.114        , ULS       , 404-97-61074-31  , UW_E_F1_OM_DEHM230B_B , 15634975  , 30.29646 , 78.01406          , 1          , 6.357112000000001 , 2             , 8.728915000000001 , 2             
 6        , 100.99.254.114        , OM         , 404-97-592402-31 , UW_E_F1_OM_DEH70B_B    , 151654943 , 30.31048 , 78.02806          , 1          , 4.377298          , 1             , 4.380925          , 1             
 6        , 100.99.254.114        , ULS        , 404-97-60233-92  , UW_E_T1_HS_DEHM81C_C   , 15419740  , 30.32359 , 78.04589          , 1          , 8.782277000000001 , 2             , 8.788219999999999 , 2             
 6        , 100.99.254.114        , OM        , 404-97-864-26    , UW_E_T2_OM_BDOW01C_N  , 221210    , 30.30597 , 77.95712          , 1          , 8.790963999999999 , 2             , 8.796353999999999 , 2             
 6        , 100.99.254.114        , OM        , 404-97-95934-3   , UW_E_F3_OM_DEH259C_C  , 24559107  , 30.32584 , 78.04393          , 1          , 0                 , 1             , 4.378469          , 1             
 6        , 100.99.254.114        , MICRO     , 404-97-60751-91  , UW_E_T1_HS_DEHM22B_B  , 15552347  , 30.32729 , 78.05274          , 1          , 8.769444999999999 , 2             , 8.777453999999999 , 2             
 6        , 100.99.254.114        , OM         , 404-97-91484-20  , UW_E_T2_OM_DEH36A_A   , 23419924  , 30.3111  , 78.02106000000001 , 1          , 13.178198         , 4             , 17.60049          , 4             
 6        , 100.99.254.114        , OM         , 404-97-91013-90  , UW_E_T1_OM_DEH213A_A  , 23299418  , 30.30765 , 78.02122          , 2          , 8.678115          , 2             , 8.692162          , 2             
 6        , 100.99.254.114        , OM        , 404-97-91431-22  , UW_E_T2_OM_DEH974C_C  , 23406358  , 30.3159  , 78.0384           , 4          , 17.523607         , 6             , 26.28236          , 6             
 6        , 100.99.254.114        , OM         , 404-97-888384-1  , UW_E_F3_OM_DEH426A_A  , 227426305 , 30.32742 , 78.02141          , 1          , 21.897486         , 5             , 21.86600600000001 , 5             
 6        , 100.99.254.114        , OM        , 404-97-533266-32 , UW_E_F1_OM_DEH704C_C  , 136516128 , 30.30436 , 78.02891          , 2          , 21.951589         , 5             , 21.9023           , 5             
 6        , 100.99.254.114        , OM        , 404-97-591640-32 , UW_E_F1_OM_DEH214C_C  , 151459872 , 30.32299 , 78.03310999999999 , 1          , 4.378702          , 1             , 4.385699          , 1             
 6        , 100.99.254.114        , OM        , 404-97-566837-60 , UW_E_F5_OM_DEH900A_A  , 145110332 , 30.30948 , 77.99173999999999 , 1          , 4.382805          , 1             , 4.382342          , 1             
 6        , 100.99.254.114        , OM        , 404-97-502427-62 , UW_E_F5_OM_DEH826C_C  , 128621374 , 30.31087 , 78.03185000000001 , 1          , 4.391893          , 1             , 4.395294          , 1             
 6        , 100.99.254.114        , OM         , 404-97-91424-92  , UW_E_T1_OM_DEH03C_C   , 23404636  , 30.31747 , 78.02889999999999 , 44         , 614.430537        , 143           , 623.302595        , 143           
